Participant,Mode,Code,Gender,Age,Orientation,Image_Rate,Trial_Type,Confidence,Accuracy,Milliseconds
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,1,1,2650
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,5,1,2062
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,5,1,2305
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,8,0,2545
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,6,1,2188
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,different,5,1,1828
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,8,1,1813
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,12,1,3856
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,5,0,1746
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,1,0,2150
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,8,1,2651
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,4 images,same,9,1,1399
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,1,1,1810
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,3,1,3475
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,3,1,2244
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,8,0,3397
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,9,0,2025
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,different,4,1,2691
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,9,1,2048
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,9,1,1915
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,1,0,2310
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,12,1,2491
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,8,1,2202
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,inverted,8 images,same,4,0,2131
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,1,1,2921
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,8,0,2453
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,2,1,3326
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,9,0,2420
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,9,0,1973
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,different,5,1,2671
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,1,0,2820
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,1,0,3019
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,5,0,4916
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,3,0,2675
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,8,1,3126
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,1 image,same,9,1,2836
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,9,0,1953
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,10,0,2618
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,8,0,5633
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,2,1,3533
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,2,1,4348
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,different,6,1,5281
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,12,1,2039
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,12,1,2186
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,12,1,1862
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,10,1,1817
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,8,1,3014
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,2 images,same,3,0,1652
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,9,0,1794
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,9,0,2799
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,8,0,2126
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,6,1,2957
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,6,1,3087
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,different,5,1,2426
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,8,1,1750
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,8,1,1785
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,8,1,1426
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,8,1,1907
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,9,1,1806
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,4 images,same,9,1,1973
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,1,1,1933
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,1,1,1455
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,12,0,1565
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,12,0,1854
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,11,0,2517
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,different,1,1,2208
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,12,1,3622
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,12,1,2001
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,11,1,2326
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,11,1,2534
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,10,1,5570
21_RSVPExp01_2019June_RASearston_93641059343.txt,participant,A0011A,Female,21,upright,8 images,same,9,1,1773
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,7,0,1840
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,6,1,1686
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,7,0,2517
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,7,0,1088
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,6,1,2999
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,different,7,0,1486
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,8,1,1596
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,7,1,1359
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,6,0,1580
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,9,1,2694
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,9,1,1453
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,1 image,same,8,1,1485
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,6,1,1920
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,4,1,3346
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,4,1,1334
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,7,0,2449
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,5,1,1978
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,different,7,0,1806
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,8,1,2059
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,10,1,1764
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,10,1,1470
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,8,1,1700
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,4,0,1783
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,2 images,same,8,1,1818
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,8,0,1801
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,9,0,1593
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,8,0,1619
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,10,0,1396
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,5,1,1451
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,different,8,0,1549
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,7,1,3221
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,8,1,1306
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,8,1,994
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,5,0,1474
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,6,0,1757
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,4 images,same,8,1,2199
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,6,1,1859
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,5,1,1319
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,6,1,1339
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,8,0,1400
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,8,0,941
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,different,6,1,1682
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,9,1,1373
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,9,1,1187
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,4,0,2319
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,10,1,2211
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,10,1,955
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,inverted,8 images,same,8,1,1095
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,2,1,1990
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,1,1,2831
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,6,1,1685
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,1,1,1583
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,6,1,3294
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,different,7,0,3342
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,6,0,3413
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,1,0,1574
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,4,0,3478
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,7,1,2261
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,11,1,2629
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,1 image,same,11,1,1252
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,9,0,6274
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,4,1,2956
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,12,0,1932
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,7,0,3864
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,6,1,2451
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,different,5,1,3001
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,10,1,3063
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,7,1,8845
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,7,1,3932
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,6,0,2822
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,7,1,1920
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,2 images,same,7,1,1304
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,9,0,1460
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,6,1,1517
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,7,0,1497
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,6,1,1361
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,6,1,4954
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,different,5,1,2228
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,9,1,1978
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,7,1,2402
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,6,0,1933
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,7,1,1843
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,7,1,1000
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,4 images,same,6,0,2885
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,6,1,1612
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,10,0,1674
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,6,1,1804
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,8,0,1288
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,6,1,2992
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,different,6,1,1919
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,12,1,1897
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,10,1,2005
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,8,1,1556
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,9,1,3034
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,8,1,1352
30_RSVPExp01_2019June_RASearston_93641059914.txt,participant,A0103F,Female,20,upright,8 images,same,10,1,1481
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,6,1,2440
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,4,1,1664
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,3,1,1902
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,4,1,2661
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,7,0,1573
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,different,8,0,1981
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,6,0,1919
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,7,1,2166
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,5,0,2153
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,5,0,1799
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,4,0,1820
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,1 image,same,7,1,2551
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,5,1,1864
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,2,1,1709
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,6,1,1976
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,7,0,1358
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,8,0,1827
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,different,7,0,1385
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,8,1,1939
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,7,1,2766
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,8,1,1332
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,9,1,1335
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,7,1,2385
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,2 images,same,6,0,1767
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,9,0,1374
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,6,1,2009
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,5,1,3401
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,8,0,1811
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,5,1,1899
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,different,8,0,3209
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,8,1,1615
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,8,1,1809
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,8,1,1525
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,5,0,2471
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,5,0,1824
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,4 images,same,7,1,1521
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,6,1,1901
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,7,0,2040
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,5,1,1701
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,6,1,2036
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,4,1,2428
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,different,7,0,1933
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,8,1,1845
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,9,1,1573
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,8,1,1915
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,8,1,2189
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,10,1,1485
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,inverted,8 images,same,4,0,1713
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,upright,1 image,different,3,1,2447
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,upright,1 image,different,7,0,2464
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,upright,1 image,different,4,1,2476
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,upright,1 image,different,6,1,1966
10_RSVPExp01_2019June_RASearston_93641058602.txt,participant,C0102D,Female,23,upright,1 image,different,6,1,1823
